CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_TRX
C10149,10598.46777,1,2084.48,0.666667,13
C10150,2163.678757,1,5779.36,1,97
C10151,3057.400553,1,1025,0.083333,2
C10152,19.354559,0.909091,689.7,0.833333,10
C10153,264.811595,1,28.65,0.083333,1
C10154,1108.22253,0.909091,944.96,0.5,9
C10155,906.573724,1,1039.2,0.833333,11
C10156,7679.62904,1,4059.93,0.583333,14
C10157,1523.911458,1,4075.37,1,31
C10158,49.206256,1,870.24,1,24
C10159,13673.07961,1,9792.23,1,216
C10160,106.455975,0.636364,2463.12,1,46
C10161,119.760904,0.363636,1859.34,0.333333,4
C10162,5837.105453,1,3488.49,1,46
C10163,1734.510004,1,0,0,0
C10164,2765.748281,1,7283.31,1,77
C10165,1046.37041,1,295,0.083333,2
C10166,2737.367678,1,0,0,0
C10167,4014.818167,1,0,0,0
C10168,871.568977,1,648.22,1,27
C10169,1610.040203,1,557.19,0.25,5
C10170,114.593817,1,469.98,1,6
C10171,5800.587339,1,0,0,0
C10172,823.103926,0.363636,131.64,1,12
C10173,595.677343,1,5078.14,0.916667,42
C10174,1128.124563,1,924.6,1,12
C10175,349.441102,1,1975.4,0.666667,17
C10176,840.804076,0.666667,0,0,0
C10177,975.942008,1,10221.35,1,130
C10178,23.111088,0.363636,300,0.25,3
C10179,2187.732265,0.857143,0,0,0
C10180,11972.01104,1,5715,1,90
C10181,1608.451822,1,0,0,0
C10182,1872.926275,1,766.61,0.833333,12
C10183,2933.240476,1,0,0,0
C10184,336.799916,1,3535.8,1,44
C10185,36.236312,0.454545,256.11,0.416667,5
C10186,903.29781,1,2697.48,1,39
C10187,0,0,23,0.083333,1
C10188,2881.253586,1,117,0.25,3
C10189,5.465999,0.090909,196.81,0.083333,3
C10190,117.442684,1,653.73,0.666667,15
C10191,168.522709,0.818182,2009.05,0.833333,22
C10192,1706.014379,1,147.78,0.166667,2
C10193,874.583247,1,516.54,1,30
C10194,861.001207,1,969.56,0.416667,6
C10196,966.251742,1,311.45,0.333333,15
C10197,38.615644,0.727273,280.4,0.25,3
C10198,189.687964,1,66.14,0.083333,2
C10199,40.417255,0.363636,79.2,0.083333,1
C10200,5462.897068,1,1453.32,0.5,18
C10201,3983.923705,1,756.54,0.5,15
C10202,5588.846272,1,3507.35,0.916667,34
C10203,281.170378,0.818182,3163.69,0.75,36
C10204,130.251538,0.909091,1343.19,1,33
C10205,1973.814964,1,873,0.166667,5
C10206,5698.539876,1,47.55,0.166667,2
C10207,43.103899,0.454545,370,0.166667,2
C10208,566.546048,0.909091,405.75,0.5,12
C10209,24.527253,0.909091,261.64,0.833333,10
C10211,8350.145568,1,1989.28,0.333333,8
C10212,4559.779234,1,10848.5,1,123
C10213,2.67713,0.090909,43.39,0.083333,1
C10214,1570.682346,1,645.32,0.166667,2
C10215,7201.736985,1,987.1,0.333333,9
C10216,6467.885013,1,1464.14,0.833333,23
C10217,64.080909,0.454545,927,0.25,4
C10218,5635.860679,1,393.62,0.916667,15
C10219,3670.50596,1,965.5,0.5,9
C10220,2458.376257,0.818182,0,0,0
C10221,768.004936,1,336.41,0.75,9
C10222,75.647479,0.727273,540,0.25,3
C10223,2.433254,0.181818,36,0.166667,2
C10224,1121.730896,1,878.52,1,39
C10226,7.56809,0.545455,144.26,0.333333,7
C10227,2053.441598,1,493.85,0.5,10
C10228,2422.311938,1,4490.69,1,52
C10229,9047.621884,1,11188.62,1,151
C10230,3061.213971,1,1829.2,1,17
C10231,41.642389,0.857143,75.99,0.142857,1
C10232,5431.622968,1,1824.16,1,23
C10233,6571.484039,1,9325.22,0.333333,5
C10234,28.461629,1,100,0.083333,1
C10235,4178.625215,1,1431.89,1,39
C10236,3019.019487,1,2260.41,0.833333,25
C10237,1.045584,0.333333,0,0,0
C10238,2723.369217,0.909091,10410.49,0.75,41
C10239,1070.999446,1,990.7,0.75,13
C10240,279.608696,1,3034.92,1,12
C10241,1255.901821,1,1038.81,0.916667,21
C10242,2229.857287,1,45.65,0.083333,1
C10243,2363.489077,1,2641.98,0.833333,41
C10244,4014.388265,1,1189.52,1,12
C10245,7623.224897,1,300,0.5,6
C10246,3421.571922,1,126.69,0.333333,5
C10247,48.898611,0.545455,247.09,0.5,7
C10248,1874.716289,1,301.1,0.583333,10
C10249,3215.511032,0.818182,1112.2,0.25,4
C10250,237.235398,0.636364,2410.07,0.5,15
C10251,1272.927288,1,5350.19,1,101
C10252,558.476701,1,630.03,0.090909,1
C10253,2814.207626,1,3197.24,1,49
C10254,8.061012,0.363636,133,0.25,3
C10255,435.862142,1,1646.16,1,33
C10256,6.390383,1,79.66,1,12
C10257,9612.21512,1,319.92,1,12
C10258,7938.559134,1,3677.52,1,98
C10259,2344.478291,1,1041.63,0.25,14
C10260,996.48222,1,675.96,1,12
C10261,19.508047,1,193.14,0.416667,5
C10262,185.640313,1,1703.23,1,13
C10263,5335.302925,1,0,0,0
C10265,22.189283,0.363636,234.16,0.363636,4
C10266,5.871769,0.818182,29.68,0.083333,1
C10267,1049.496471,1,1322.67,0.833333,28
C10269,5570.190127,1,1607.88,1,84
C10270,1668.591831,1,0,0,0
C10271,2224.590946,0.818182,3183,0.166667,2
C10272,2903.781184,1,3014.23,1,93
C10273,2041.480046,1,7323.38,1,81
C10274,7755.698607,1,8533.54,1,72
C10275,614.263149,0.727273,408.93,0.5,10
C10276,8097.334733,1,3999.92,1,14
C10277,1082.33027,1,2980.46,1,50
C10278,2734.66412,1,560.73,0.916667,11
C10279,80.708806,1,569.9,0.166667,3
C10280,2554.525229,1,6186.77,0.916667,38
C10281,535.947221,1,4550.81,1,99
C10282,3905.365959,1,150.8,0.166667,2
C10283,156.278339,1,1385.1,1,21
C10284,5131.319584,1,32539.78,1,98
C10285,5265.763713,1,410.24,0.916667,21
C10286,2.564117,0.181818,47.95,0.083333,1
C10287,1873.084577,1,126.57,0.25,4
C10288,32.124999,0.272727,380.89,0.083333,1
C10289,1473.495809,1,414,0.75,9
C10290,1504.82705,1,2010,1,14
C10291,7645.108427,1,4693.15,0.5,12
C10292,1129.33758,1,498.96,1,12
C10293,668.956687,1,224.2,0.583333,9
C10294,2302.184366,1,2856.57,1,62
C10295,272.711518,0.818182,0,0,0
C10296,4246.430225,1,0,0,0
C10297,2420.761135,1,0,0,0
C10298,2935.324966,1,409.63,0.583333,12
C10299,83.148283,0.636364,843.34,0.5,17
C10300,5469.851311,1,0,0,0
C10301,280.142117,1,2236.49,1,34
C10302,5790.930626,1,464.51,0.416667,10
C10303,3605.714046,1,1779,0.166667,2
C10304,3992.261885,1,0,0,0
C10305,41.833264,1,456.36,1,14
C10306,635.090434,0.818182,5758.71,0.75,48
C10307,1521.1681,1,245.98,0.166667,2
C10308,5547.092593,1,0,0,0
C10309,2503.107213,1,733.9,1,13
C10310,191.450711,1,1641.07,0.666667,15
C10311,3621.70204,1,674.73,0.25,12
C10312,2762.479434,1,2702.47,1,27
C10313,4338.606862,1,0,0,0
C10314,388.873921,0.727273,1579.15,0.583333,15
C10315,9261.310686,1,0,0,0
C10316,208.131845,1,2161.38,1,41
C10317,169.088238,1,1482.19,1,26
C10318,133.911556,1,1446.05,1,16
C10319,1613.34907,0.909091,0,0,0
C10320,566.908563,1,397.06,0.666667,12
C10321,53.208422,1,498.17,0.916667,14
C10322,1329.967543,1,2009.12,1,36
C10323,515.904786,1,5359.02,1,60
C10324,927.041961,1,0,0,0
C10325,1872.767651,1,0,0,0
C10326,185.396312,1,0,0,0
C10327,4823.822993,0.857143,0,0,0
C10328,994.105777,1,126.2,0.833333,10
C10329,40.089221,1,225,1,12
C10330,0.478714,0.090909,734.97,0.833333,16
C10331,4732.37354,1,14.95,0.083333,1
C10332,9206.811696,1,874.98,0.75,16
C10333,6719.376505,1,0,0,0
C10334,2233.074041,1,445.2,0.166667,4
C10335,1867.649838,1,0,0,0
C10336,57.842746,1,689.34,1,24
C10337,4194.033835,0.727273,2006.87,0.666667,26
C10338,2459.862339,1,678,1,12
C10339,850.630114,1,0.05,0.083333,1
C10340,353.198215,1,3085.69,1,21
C10341,2669.160638,1,0,0,0
C10342,92.440743,0.909091,1080,0.75,12
C10343,706.675991,1,2721.16,1,32
C10344,361.319366,1,3095.96,1,32
C10345,2324.086254,0.909091,0,0,0
C10346,2922.487907,1,71.07,0.25,3
C10347,98.364739,0.181818,65,0.166667,2
C10348,498.208616,1,4786.61,0.916667,61
C10349,16.93339,0.454545,174.42,0.333333,5
C10350,3355.631092,1,242.88,1,12
C10351,907.982017,1,216.94,0.166667,3
C10352,1132.386178,0.454545,2246.3,0.333333,8
C10353,1254.6691,1,361.73,0.166667,2
C10354,80.336636,0.6,330,0.1,1
C10355,260.838885,1,2854.11,1,51
C10356,17.356961,0.454545,390,0.5,7
C10357,1897.672025,1,422.18,1,12
C10358,1032.241153,1,1005.52,1,33
C10359,3536.601227,1,2132.93,1,74
C10360,21.580264,0.909091,284.72,0.666667,16
C10361,4211.539631,1,0,0,0
C10362,1732.715258,1,3244.16,1,29
C10364,8939.461145,1,2490.17,0.5,8
C10365,36.567901,0.090909,1098.31,0.083333,1
C10366,41.754778,0.181818,636.15,0.166667,5
C10367,1937.246177,1,3018.93,1,99
C10368,99.955082,1,1222.97,1,16
C10369,5135.604593,1,110.18,0.333333,4
C10370,214.896542,0.636364,0,0,0
C10371,1543.287931,1,0,0,0
C10372,601.92037,1,983.77,0.666667,15
C10373,1261.05733,1,0,0,0
C10374,85.285023,0.75,423.24,0.625,9
C10375,1903.688611,1,6079.5,0.916667,31
C10376,813.068705,1,439.38,0.083333,2
C10377,1279.325142,1,1207.25,1,59
C10378,237.669312,1,259.13,0.083333,1
C10379,5747.761139,1,1627.69,1,49
C10380,7760.940543,1,0,0,0
C10381,6388.108487,1,0,0,0
C10382,426.372628,1,5749.96,1,50
C10383,8806.866629,1,1490.94,1,25
C10384,282.934373,0.181818,0,0,0
C10385,1128.229387,1,5068.88,1,76
C10386,2045.541408,1,1067.28,1,30
C10387,8.520292,0.545455,64.12,0.166667,2
C10388,11278.95243,1,6855.59,0.916667,39
C10389,143.443832,0.636364,1631,0.583333,7
C10390,241.223955,0.909091,180.91,0.166667,6
C10391,1528.571561,1,0,0,0
C10392,12474.72954,1,136.88,0.166667,2
C10393,566.147105,1,0,0,0
C10395,1077.606225,0.727273,343.21,0.25,4
C10396,1.838084,0.272727,16.5,0.083333,1
C10397,507.144348,1,5708.18,1,47
C10398,816.82453,0.3,42.3,0.1,1
C10399,1526.506915,1,46.67,0.083333,1
C10400,7957.017218,1,0,0,0
C10402,79.189929,1,699.12,1,24
C10403,497.908027,1,245.39,0.583333,7
C10404,681.95925,1,98,0.166667,2
C10405,1535.248256,1,857.36,1,13
C10406,1508.513765,0.818182,2747.12,0.25,4
C10407,11209.37076,1,11147.33,1,126
C10408,201.3504,1,600,0.5,6
C10409,2502.264409,1,0,0,0
C10410,4543.789386,1,255.12,0.666667,11
C10411,918.342234,1,1221.53,0.333333,2
C10412,5066.744231,1,0,0,0
C10413,2259.431829,1,780.64,1,22
C10414,437.789873,1,1532.1,0.75,14
C10415,2025.162877,1,778.33,0.916667,28
C10416,3770.560441,0.875,964.06,0.875,8
C10417,140.730723,1,1667.13,1,38
C10419,5523.999416,1,0,0,0
C10420,3298.692478,1,1088.83,0.416667,6
C10421,150.699542,0.363636,648.64,0.333333,5
C10422,1874.843394,1,0,0,0
C10423,3024.629054,1,0,0,0
C10424,154.641707,0.363636,1897.92,0.25,5
C10425,1322.057239,1,0,0,0
C10426,62.287137,1,1263.29,1,25
C10427,16.581535,0.125,200,0.125,2
C10428,4664.023286,1,340,0.083333,1
C10429,318.03434,1,1277.58,1,20
C10430,681.615445,1,4117.24,1,229
C10431,9335.31417,1,226.23,0.166667,5
C10432,6404.955912,1,3970.8,1,64
C10433,133.405494,0.545455,1346.9,0.583333,14
C10434,1403.597712,1,1050.83,1,24
C10435,469.878834,1,1364.99,0.5,7
C10436,1452.437463,1,0,0,0
C10437,3737.175713,1,0,0,0
C10438,6032.740391,1,7553.48,0.916667,85
C10439,1692.755487,0.909091,570.16,0.833333,20
C10441,3534.253718,1,566.28,0.5,17
C10442,654.574445,1,0,0,0
C10443,1648.721384,1,0,0,0
C10444,6822.877573,1,137.34,0.083333,1
C10445,8647.057641,1,0,0,0
C10446,5055.582822,1,0,0,0
C10447,4245.550244,1,332.82,1,25
C10448,541.915572,0.636364,1377.72,0.25,5
C10449,4855.340797,1,0,0,0
C10450,981.643409,0.818182,0,0,0
C10451,7057.658848,1,360.7,0.083333,2
C10452,4264.307261,1,222.64,0.916667,11
C10453,4503.390811,1,1634.74,1,38
C10454,969.294446,1,0,0,0
C10455,4479.115547,1,759.15,1,12
C10456,37.753941,0.363636,243.36,0.083333,2
C10457,7386.704481,0.9,0,0,0
C10458,1265.805627,0.818182,0,0,0
C10459,598.78776,1,519,0.818182,9
C10460,3143.928913,1,3055.87,0.75,26
C10461,5580.530306,1,2470.4,0.5,19
C10462,576.635957,1,1671.6,1,48
C10463,51.818382,0.454545,903.36,0.25,6
C10466,1036.595935,1,0,0,0
C10467,21.12921,0.545455,229.5,0.5,7
C10468,1534.969344,1,1476.19,1,23
C10469,4994.04832,1,2506.89,0.75,30
C10470,4700.106602,1,2570,0.75,40
C10471,9601.071318,1,238.34,0.833333,5
C10472,1207.888199,0.875,1342.36,0.875,27
C10473,87.442862,0.818182,786.32,0.636364,7
C10474,123.394089,0.909091,1450.68,1,20
C10475,395.052994,1,1239.46,0.666667,14
C10476,1715.459275,1,96.75,0.333333,7
C10477,1492.039988,1,4106.15,0.333333,50
C10478,636.669685,1,2022.38,0.916667,19
C10480,223.772475,1,3654.08,1,32
C10481,1122.603377,1,883.73,0.833333,26
C10482,805.131074,1,795.54,1,20
C10483,869.001444,1,0,0,0
C10484,4458.055159,1,0,0,0
C10485,2070.069187,1,1382.57,1,33
C10486,52.229659,1,565.5,1,14
C10487,6426.639738,1,4462.86,1,103
C10488,206.596865,0.363636,1726.67,0.166667,4
C10489,5810.748774,1,217,0.166667,2
C10490,3872.605467,1,0,0,0
C10491,2597.400267,1,1748.73,1,31
C10492,1481.43247,1,0,0,0
C10493,1135.53683,1,50.98,0.333333,4
C10494,3430.981532,1,378.04,0.166667,4
C10495,4102.599015,1,1483.12,0.833333,30
C10497,150.952465,0.727273,6407.67,1,44
C10498,3170.537693,0.909091,0,0,0
C10501,911.281862,1,70,0.083333,1
C10502,45.753138,0.545455,449.96,0.5,8
C10503,456.648662,1,3355.33,0.916667,27
C10504,198.035504,0.545455,0,0,0
C10505,473.840442,0.727273,0,0,0
C10506,285.813075,1,3220.09,1,24
C10507,204.329381,1,6558.55,1,74
C10508,3690.177649,1,0,0,0
C10509,327.445978,1,4305.05,1,38
C10510,6856.045926,1,262.1,0.166667,5
C10511,155.644239,0.727273,1626.83,0.75,17
C10512,4263.008734,1,3522.57,1,25
C10513,10249.71178,1,0,0,0
C10514,813.185305,1,8194.05,1,121
C10515,911.893997,1,1604.8,0.25,11
C10516,3563.23692,1,709.9,1,16
C10517,12478.17286,1,174,0.25,3
C10518,2061.27937,1,0,0,0
C10519,1556.376158,1,0,0,0
C10520,126.207012,0.636364,913,0.416667,5
C10521,2516.753364,1,606.62,0.833333,14
C10522,1199.942209,1,1447.01,0.916667,19
C10523,13479.28821,1,41050.4,0.833333,157
C10524,80.062693,1,727.27,0.583333,11
C10525,839.897907,1,1869.88,1,30
C10526,128.175207,0.818182,182.94,0.833333,10
C10527,47.6368,0.727273,379.28,0.583333,7
C10528,1529.206464,1,874.94,0.833333,18
C10529,2643.343414,1,26402.39,1,114
C10530,2924.757622,1,0,0,0
C10532,5036.870531,1,1752.15,1,53
C10533,32.042424,0.909091,400.41,0.833333,11
C10534,2549.128288,1,13771.63,1,83
C10535,3718.606699,1,1172.68,0.083333,7
C10536,4914.325665,1,1653.6,0.75,14
C10537,1191.584153,1,4238.79,1,33
C10538,98.420888,1,907.37,1,12
C10539,1534.891604,1,0,0,0
C10540,675.117139,0.181818,0,0,0
C10542,43.42718,1,569.34,1,19
C10543,1874.601636,1,305.78,0.583333,14
C10544,15258.2259,1,529.3,0.5,10
C10545,4497.213951,1,2001.19,1,30
C10546,986.149218,0.454545,0,0,0
C10547,257.997181,1,1020.47,0.916667,27
C10548,4507.733288,1,4754.32,1,43
C10549,1117.635883,1,0,0,0
C10550,5083.397311,1,331.95,0.2,2
C10551,3649.559565,0.818182,1490,0.083333,1
C10552,77.45581,1,558.28,0.916667,14
C10553,1362.418281,1,1477.44,1,10
C10554,189.12074,0.909091,1051.1,0.833333,13
C10555,2374.663583,1,2242.26,1,42
C10556,1112.070216,1,179.24,0.416667,7
C10557,2569.379868,1,972.65,0.583333,15
C10558,2883.906333,1,4620.34,1,21
C10559,71.046063,0.181818,1023.8,0.083333,2
C10560,3366.051663,1,6344.3,1,54
C10561,7190.047748,1,1549.61,0.666667,19
C10562,68.039722,0.454545,734.11,0.333333,6
C10563,5066.461251,1,2274.21,1,60
C10564,2454.610005,1,1635.69,1,33
C10565,64.329876,0.272727,627.03,0.25,8
C10566,1284.63314,1,55.5,0.083333,1
C10567,76.93561,0.833333,277,0.333333,2
C10568,950.563525,0.909091,7479.95,0.818182,14
C10569,5178.179489,1,3937.59,1,54
C10570,531.455619,1,6300.4,0.833333,21
C10571,263.6992,1,1856.64,1,12
C10572,492.070146,0.8,4924.41,0.8,48
C10573,1034.660626,0.833333,1308.11,0.5,8
C10574,11547.52001,1,49039.57,1,101
C10575,8997.488544,1,4604.72,0.916667,46
C10576,9149.4096,1,227.8,0.333333,4
C10577,1296.922119,1,2327.49,0.666667,18
C10578,1758.979585,0.818182,1199,0.090909,1
C10579,194.493602,1,1174.76,1,41
C10580,3294.37955,1,0,0,0
C10581,5404.202992,1,469,0.666667,4
C10582,5484.800476,1,0,0,0
C10583,181.463092,1,133.39,0.25,3
C10584,1311.732049,1,10700.63,0.916667,222
C10585,542.218074,1,0,0,0
C10586,1029.101022,1,49.1,0.25,3
C10587,1202.975648,1,11313.77,1,98
C10588,1095.379426,1,0,0,0
C10589,4546.766836,1,3525.37,1,66
C10590,28.934197,0.909091,258.74,0.666667,16
C10591,3457.086184,1,2448.6,1,12
C10592,23.290641,0.727273,293.99,0.5,6
C10593,9559.783145,1,709,0.3,3
C10594,2154.175363,1,1628.07,0.333333,8
C10595,2627.184835,1,0,0,0
C10596,2689.586312,1,0,0,0
C10597,11.890862,0.090909,165,0.083333,1
C10598,3452.538704,1,11681.64,1,141
C10599,1068.031748,0.727273,98.97,0.416667,5
C10600,7295.920263,1,0,0,0
C10601,7975.19143,1,1142.15,0.5,10
C10602,1866.608592,1,1494.5,0.416667,8
C10603,259.467265,0.909091,646.24,0.083333,1
C10604,1298.191599,1,0,0,0
C10605,313.387813,1,3608.88,1,37
C10606,7088.358802,1,0,0,0
C10607,4458.045588,1,0,0,0
C10608,2690.771926,1,12465.21,1,79
C10609,15244.74865,1,7823.74,1,62
C10610,0.327199,0.454545,24.64,0.083333,1
C10611,2492.726282,1,27957.68,1,70
C10612,47.424621,0.545455,372,0.333333,7
C10613,4114.723127,1,1841.62,1,21
C10615,2450.031338,1,1678.07,1,33
C10616,8781.831676,1,11674.64,1,93
C10617,1642.024936,1,2094.38,0.416667,17
C10618,2739.836747,0.909091,0,0,0
C10619,1946.447038,1,411.38,0.25,5
C10620,9.962695,0.545455,99.19,0.5,7
C10621,394.269079,0.363636,525,0.083333,1
C10622,5935.917803,1,1956.06,0.916667,48
C10623,266.588825,1,1750.51,1,31
C10624,917.732846,1,18.41,0.083333,1
C10625,3183.529482,1,386.12,0.636364,9
C10626,2071.736764,0.909091,0,0,0
C10627,6980.581442,1,0,0,0
C10628,724.261595,1,625.46,0.583333,10
C10629,2469.665655,1,963.13,0.666667,16
C10630,202.190447,0.545455,2011.81,0.416667,8
C10631,6787.661776,1,99.5,0.833333,10
C10632,107.298227,0.636364,1084.09,0.666667,9
C10633,3946.876897,1,207,0.916667,11
C10634,1246.393805,1,1757.47,1,80
C10635,7155.328723,1,3837.59,1,52
C10636,2147.939753,0.818182,117.57,0.083333,2
C10637,32.612745,1,1223.41,1,25
C10638,5380.796813,1,1710.24,1,43
C10639,3419.661676,1,11.06,0.083333,1
C10640,8900.194109,1,0,0,0
C10641,837.950585,1,8273.18,1,53
C10642,2113.098241,1,619.93,1,24
C10643,16.371699,0.3,190,0.2,3
C10644,3774.063585,1,7680.08,1,64
C10645,1088.031913,1,9734.63,1,194
C10646,2.175751,0.454545,0,0,0
C10647,5248.392421,1,8403.17,0.833333,117
C10648,9.581344,1,118.6,1,25
C10649,3123.339488,1,11202.09,1,100
C10650,1670.928797,1,794.52,0.666667,16
C10651,537.389322,0.9,1704.22,0.9,16
C10652,1803.955439,1,1044.43,0.666667,23
C10653,2394.126386,1,3651.59,1,111
C10654,544.879717,1,6477.6,1,83
C10655,288.474257,1,1025.03,1,67
C10656,1434.097191,1,0,0,0
C10657,79.554406,0.636364,472.71,0.083333,1
C10658,2134.513436,1,733.35,0.818182,11
C10659,4925.502001,1,3050.72,0.583333,16
C10660,62.32157,0.636364,601.35,0.416667,10
C10661,1062.752143,1,0,0,0
C10662,5347.377116,0.545455,0,0,0
C10663,8.555864,1,0,0,0
C10665,164.649775,1,1764.86,1,21
C10666,299.765294,1,2352.2,0.916667,30
C10667,3725.636832,1,0,0,0
C10668,306.877248,1,3877.85,0.916667,29
C10669,14411.95798,1,5958.17,1,98
