index,area_type,availability,size,total_sqft,bath,balcony,price
171,Super built-up  Area,1,1,450,1,1,11
172,Super built-up  Area,0,3,1152,2,1,64.5
173,Super built-up  Area,1,5,1350,2,1,56
174,Super built-up  Area,1,5,1550,3,3,65
178,Super built-up  Area,1,1,705,1,2,67
179,Built-up  Area,1,3,770,1,1,36
180,Super built-up  Area,1,3,1242,2,3,51
181,Super built-up  Area,1,5,1700,3,2,155
182,Super built-up  Area,1,5,2144,3,2,145
183,Super built-up  Area,0,5,1704,3,2,110
184,Super built-up  Area,1,3,1070,2,1,52
187,Built-up  Area,1,3,1025,2,1,46
188,Super built-up  Area,1,3,1015,2,0,56.8
189,Super built-up  Area,1,3,1200,2,2,52
191,Super built-up  Area,1,5,1550,2,3,80
194,Super built-up  Area,1,3,1200,2,2,60
195,Super built-up  Area,1,3,1327,2,2,98
198,Super built-up  Area,1,5,1400,3,2,56
202,Built-up  Area,1,3,1225,2,2,47.6
204,Built-up  Area,1,5,1260,2,2,54
205,Super built-up  Area,1,5,1282,2,2,48.7
206,Super built-up  Area,1,5,1909,3,2,88
207,Super built-up  Area,1,3,1359,2,1,87
211,Super built-up  Area,1,5,1595,3,2,65
213,Super built-up  Area,1,5,1475,3,2,78.29
214,Super built-up  Area,1,5,1580,3,3,100
215,Super built-up  Area,1,3,1295,2,1,65
217,Super built-up  Area,1,1,589,1,1,27
219,Super built-up  Area,0,5,1787,3,2,98.29
220,Super built-up  Area,1,5,1787,3,2,125
221,Super built-up  Area,1,5,1475,2,3,90
223,Super built-up  Area,0,3,984,2,1,44.28
225,Super built-up  Area,1,5,2405,4,2,260
226,Built-up  Area,1,3,1080,2,2,72
230,Super built-up  Area,1,3,1153,2,2,56.4
231,Super built-up  Area,1,3,1148,2,2,60
232,Super built-up  Area,1,3,1110,2,2,55
233,Built-up  Area,1,3,1100,2,2,42
234,Super built-up  Area,1,3,1290,2,2,110
237,Super built-up  Area,0,5,1933,3,1,129
240,Super built-up  Area,0,1,645,1,1,16.45
242,Super built-up  Area,0,1,645,1,1,16.45
243,Super built-up  Area,1,5,1644,3,3,84
244,Super built-up  Area,1,3,1285,2,3,72.5
246,Super built-up  Area,1,3,910,2,1,40
247,Super built-up  Area,1,5,1577,3,1,70
248,Plot  Area,0,4,4050,3,2,280
249,Super built-up  Area,1,5,2420,3,2,185
250,Super built-up  Area,1,3,800,1,1,20
252,Super built-up  Area,1,3,1270,2,2,93
257,Super built-up  Area,0,3,1108,2,1,63
259,Super built-up  Area,1,5,3045,3,2,170
260,Plot  Area,1,6,2900,3,2,300
261,Super built-up  Area,1,5,1500,3,2,75.5
262,Super built-up  Area,1,3,1295,2,2,43.9
263,Super built-up  Area,1,3,1162,2,1,59.9
264,Super built-up  Area,1,3,1035,2,2,49.2
265,Built-up  Area,1,6,1600,4,0,52.8
267,Super built-up  Area,0,5,1866,2,2,61.58
268,Super built-up  Area,1,3,700,1,1,26
269,Super built-up  Area,1,5,1804,3,2,120
271,Super built-up  Area,0,5,1868,3,2,131
275,Super built-up  Area,1,5,2026,3,2,132
276,Super built-up  Area,1,3,1210,2,1,80.9
277,Plot  Area,1,6,4111,4,2,250
278,Super built-up  Area,1,5,1762,3,3,91.45
279,Super built-up  Area,1,5,1252,3,3,55
280,Built-up  Area,1,3,861,2,1,34.5
281,Built-up  Area,1,5,1420,2,1,100
283,Built-up  Area,1,5,1490,3,1,78.8
285,Super built-up  Area,0,5,1425,2,2,94
286,Built-up  Area,1,3,1200,2,1,40
288,Super built-up  Area,1,3,1084,2,2,50
289,Super built-up  Area,0,3,1015,2,2,25.88
290,Super built-up  Area,0,3,1017,2,1,51.25
292,Super built-up  Area,1,3,1069,2,2,45
293,Super built-up  Area,1,3,1349,2,1,98.2
294,Super built-up  Area,1,3,1005,2,1,50
295,Super built-up  Area,1,3,1417,2,3,75
297,Carpet  Area,1,3,950,2,2,47
298,Super built-up  Area,1,7,2000,4,0,120
300,Super built-up  Area,1,7,1863,3,2,104
301,Super built-up  Area,1,3,1010,2,1,29.5
302,Super built-up  Area,1,5,1425,2,1,70
303,Super built-up  Area,1,5,1450,3,0,100
304,Super built-up  Area,1,5,1847,3,2,105
305,Super built-up  Area,1,3,1100,2,3,45
306,Super built-up  Area,0,1,525,1,1,26
307,Super built-up  Area,1,5,1665,3,2,95
308,Super built-up  Area,1,7,1664,4,3,65
309,Super built-up  Area,1,5,1850,3,3,150
310,Super built-up  Area,1,3,1438,2,3,100
311,Super built-up  Area,1,5,1560,3,3,115
313,Super built-up  Area,1,5,1550,3,3,67
317,Super built-up  Area,1,3,1280,2,2,75
319,Super built-up  Area,1,3,1113,2,1,51
320,Super built-up  Area,1,3,1385,2,1,83.09
321,Super built-up  Area,0,3,1128,2,1,65
324,Super built-up  Area,1,5,2390,3,2,415
326,Super built-up  Area,1,5,1464,3,2,56
328,Super built-up  Area,1,3,1200,2,2,52
329,Super built-up  Area,1,5,1150,2,1,55
330,Built-up  Area,1,5,1645,3,2,95
333,Super built-up  Area,1,3,1192,2,2,74
334,Super built-up  Area,1,5,2135,3,2,215
335,Super built-up  Area,0,3,1173,2,1,58
336,Built-up  Area,1,3,1020,2,2,45
337,Super built-up  Area,1,7,3122,6,2,230
341,Super built-up  Area,1,3,1250,2,2,40
342,Super built-up  Area,1,3,1325,2,2,76
343,Built-up  Area,1,5,1850,3,1,150
347,Super built-up  Area,0,5,1260,3,1,49.36
348,Super built-up  Area,1,5,1800,3,0,150
349,Plot  Area,0,4,11,3,2,74
350,Built-up  Area,1,3,1100,2,1,43.25
351,Super built-up  Area,1,3,1508,2,1,77
352,Carpet  Area,1,5,1592,3,2,75
353,Super built-up  Area,1,3,1388,2,3,57
354,Super built-up  Area,0,1,630,1,1,28.35
358,Super built-up  Area,1,7,3252,5,3,335
359,Super built-up  Area,0,3,1116,2,1,50
360,Super built-up  Area,1,3,1308,2,2,89.04
364,Super built-up  Area,1,3,1075,2,1,52
365,Super built-up  Area,0,1,530,1,0,11.66
367,Super built-up  Area,1,3,1075,2,2,60
368,Built-up  Area,1,3,930,2,2,39
369,Super built-up  Area,1,3,1380,2,1,60
370,Super built-up  Area,1,7,2483,5,2,212
371,Built-up  Area,1,3,1166,2,2,55
372,Super built-up  Area,1,3,1050,2,1,65
373,Super built-up  Area,0,5,2023.71,3,2,275
374,Super built-up  Area,1,3,1200,2,2,46.8
375,Super built-up  Area,1,5,1600,2,1,108
376,Super built-up  Area,1,5,1935,3,2,110
377,Super built-up  Area,0,1,451,1,0,29.9
378,Super built-up  Area,1,5,1800,3,2,95
379,Super built-up  Area,0,5,1400,3,0,77
380,Super built-up  Area,1,5,1801,3,2,115
383,Super built-up  Area,1,3,1160,2,2,44
385,Super built-up  Area,1,3,950,2,1,40
388,Super built-up  Area,0,5,1826,3,2,121
389,Built-up  Area,1,3,1245,2,1,94
390,Super built-up  Area,1,3,1145,2,2,45.79
391,Super built-up  Area,1,3,825,2,1,33
392,Super built-up  Area,0,5,1693,3,3,108
393,Super built-up  Area,1,3,1113.27,2,2,53
394,Built-up  Area,1,3,1460,2,1,58
395,Built-up  Area,1,3,1050,2,1,32
396,Built-up  Area,1,3,1260,2,2,55
398,Built-up  Area,1,3,1656,2,1,120
399,Super built-up  Area,1,5,1208,3,1,45
400,Super built-up  Area,1,5,1910,3,2,161
401,Super built-up  Area,1,7,3252,4,1,230
404,Super built-up  Area,1,3,1175,2,1,82
407,Super built-up  Area,1,5,2390,3,2,410
412,Super built-up  Area,1,3,750,2,1,38
414,Super built-up  Area,1,5,1550,3,3,64.5
415,Built-up  Area,1,5,1760,3,2,88
416,Super built-up  Area,1,3,1125,2,2,62
421,Super built-up  Area,1,5,1991,4,2,103
422,Super built-up  Area,0,3,1060,2,1,26.5
423,Super built-up  Area,1,3,1105,2,1,75
424,Built-up  Area,1,3,985,2,2,67
426,Super built-up  Area,0,5,1590,3,2,79
427,Super built-up  Area,1,3,1120,2,2,55
428,Super built-up  Area,1,3,1069,2,1,55
429,Super built-up  Area,1,5,1933,3,2,140
430,Built-up  Area,0,3,1194,2,0,69
431,Super built-up  Area,1,3,1150,2,3,69
433,Super built-up  Area,1,3,1419,2,2,48.1
436,Super built-up  Area,1,5,1450,3,2,55
437,Super built-up  Area,0,5,1630,3,2,68.29
438,Super built-up  Area,1,3,708,1,1,40
441,Super built-up  Area,1,3,1250,2,1,76
442,Super built-up  Area,1,5,1400,2,1,95
444,Super built-up  Area,1,5,1750,3,2,100
445,Super built-up  Area,1,3,1404,2,1,71
446,Super built-up  Area,1,5,1715,2,2,95
447,Built-up  Area,0,1,630,1,1,34.65
448,Super built-up  Area,1,5,1752.12,3,2,135
450,Super built-up  Area,1,3,1295,2,1,55.47
451,Plot  Area,1,4,1800,3,2,252
452,Super built-up  Area,0,3,1346,2,1,74.03
454,Super built-up  Area,1,3,1150,2,2,55
455,Built-up  Area,1,6,3309,4,3,325
456,Super built-up  Area,0,5,1190,2,2,30.35
457,Super built-up  Area,1,5,1620,3,2,98
459,Super built-up  Area,1,14,5000,9,3,360
460,Super built-up  Area,1,5,2450,3,0,120
461,Super built-up  Area,0,5,1220,2,1,35.23
462,Super built-up  Area,1,3,850,2,1,30
465,Super built-up  Area,1,3,1150,2,2,126
466,Super built-up  Area,0,5,1760,2,2,130
471,Super built-up  Area,1,3,900,2,1,40
473,Super built-up  Area,0,3,1130,2,1,42.16
474,Super built-up  Area,1,3,1320,2,1,165
476,Built-up  Area,1,3,1200,2,1,62
479,Super built-up  Area,1,3,929,2,0,50.17
480,Built-up  Area,1,7,1150,4,2,260
483,Plot  Area,1,8,1200,5,2,190
488,Super built-up  Area,1,3,1130,2,2,60
489,Super built-up  Area,1,5,1753,3,2,120
490,Super built-up  Area,1,9,4500,7,3,337
492,Super built-up  Area,0,3,1196,2,2,94.42
493,Built-up  Area,1,3,1150,3,3,52.5
494,Super built-up  Area,0,3,1128,2,1,63
495,Super built-up  Area,1,3,1000,2,1,53
496,Super built-up  Area,1,3,1035,2,1,45
498,Super built-up  Area,1,5,1075,2,1,36
499,Super built-up  Area,1,3,1040,2,1,48.5
501,Super built-up  Area,1,5,1511,3,1,95
503,Super built-up  Area,0,5,1545,3,1,68.75
507,Super built-up  Area,1,3,1000,2,1,35
508,Super built-up  Area,0,3,883,2,1,45
509,Super built-up  Area,0,3,1195,2,1,70
512,Super built-up  Area,1,3,1246,2,1,67
516,Super built-up  Area,0,7,2805,5,3,154
521,Super built-up  Area,1,3,1353,2,2,110
522,Super built-up  Area,0,5,1599,3,2,125
523,Super built-up  Area,1,3,1150,2,1,70
524,Super built-up  Area,0,7,5230,6,1,465
525,Super built-up  Area,1,3,1155,2,2,42.74
529,Built-up  Area,1,5,1867,3,1,160
530,Super built-up  Area,0,3,1251,2,1,47
531,Super built-up  Area,0,3,1028,2,1,45.5
532,Super built-up  Area,1,3,1222,2,2,45
533,Super built-up  Area,1,5,1170,2,1,66
534,Super built-up  Area,1,5,2400,4,1,245
536,Super built-up  Area,1,3,1372,2,1,68
537,Super built-up  Area,1,5,1282,2,2,49
538,Super built-up  Area,1,13,5000,9,3,210
540,Super built-up  Area,1,3,1135,2,1,39.73
542,Built-up  Area,1,5,1325,2,1,90
543,Super built-up  Area,0,5,1599,3,2,99
549,Super built-up  Area,0,3,1195,2,0,63.77
550,Super built-up  Area,1,5,3450,5,2,260
551,Super built-up  Area,0,3,1102,2,2,53.67
552,Super built-up  Area,1,3,1350,2,2,54
557,Super built-up  Area,0,1,525,1,1,27.25
558,Built-up  Area,1,3,656,2,1,25
560,Super built-up  Area,1,3,1056,2,1,80
561,Super built-up  Area,0,1,595,1,1,33.32
563,Super built-up  Area,0,5,2225,3,1,160
564,Super built-up  Area,0,3,1126,2,1,28.15
565,Super built-up  Area,1,5,1490,3,1,84
567,Super built-up  Area,1,5,1550,3,3,100
570,Built-up  Area,1,6,4144,4,3,315
571,Super built-up  Area,1,5,2100,3,2,125
572,Super built-up  Area,1,3,1404,2,1,69.3
573,Plot  Area,1,6,2230,4,3,225
575,Super built-up  Area,0,5,1305,2,1,58.7
576,Super built-up  Area,1,3,1230,2,2,80
582,Super built-up  Area,0,1,715,1,2,46
583,Super built-up  Area,1,5,2500,3,2,313
584,Super built-up  Area,1,5,1578,3,1,180
586,Super built-up  Area,1,3,1020,2,1,40
587,Super built-up  Area,1,3,1253,2,1,102
588,Super built-up  Area,1,3,1180,2,2,42
589,Super built-up  Area,1,3,961,2,2,38
591,Super built-up  Area,1,5,1709,3,2,150
596,Super built-up  Area,1,3,1260,2,2,45
597,Built-up  Area,1,5,1630,3,2,85
598,Super built-up  Area,0,5,1249,3,2,44.71
599,Super built-up  Area,1,5,1450,2,3,85
600,Super built-up  Area,0,5,2791,3,1,223
602,Built-up  Area,1,1,834,1,1,60
606,Built-up  Area,1,3,891,2,1,25
607,Super built-up  Area,1,3,1133,2,1,49.07
608,Built-up  Area,1,5,1075,2,1,37
616,Super built-up  Area,1,3,1090,2,1,42
620,Super built-up  Area,0,5,1920,3,2,134
621,Built-up  Area,1,3,1374,2,2,95
623,Super built-up  Area,0,1,711,1,1,36
624,Super built-up  Area,1,5,1500,3,3,95
625,Super built-up  Area,1,5,1720,3,3,100
628,Super built-up  Area,1,3,1200,2,1,85
629,Carpet  Area,0,5,1375,3,2,70
631,Super built-up  Area,1,5,2250,3,2,160
632,Super built-up  Area,1,3,1000,2,2,50
633,Super built-up  Area,1,1,469,1,0,25
634,Super built-up  Area,1,7,3800,4,3,250
635,Super built-up  Area,1,3,883,2,1,29
636,Super built-up  Area,1,5,1820,2,3,86
639,Built-up  Area,1,7,2500,5,2,325
643,Super built-up  Area,1,1,750,1,2,40
649,Super built-up  Area,1,5,2378,3,1,262
650,Super built-up  Area,1,3,1128,2,1,60
651,Super built-up  Area,1,5,1500,3,1,150
654,Super built-up  Area,0,5,1100,2,1,58
655,Super built-up  Area,1,5,1200,3,2,46
657,Super built-up  Area,1,5,1641,3,2,66
659,Super built-up  Area,1,3,1260,2,1,67.39
661,Super built-up  Area,1,3,1120,2,0,48.13
662,Super built-up  Area,1,3,1210,2,1,45.98
664,Super built-up  Area,1,5,1075,2,1,45
665,Built-up  Area,1,5,1702,3,2,130
666,Super built-up  Area,1,3,1630,2,2,200
667,Super built-up  Area,1,3,1141,2,2,38.55
672,Built-up  Area,0,6,3090,4,0,445
674,Built-up  Area,1,5,35000,3,3,130
683,Super built-up  Area,1,5,1875,3,2,165
685,Plot  Area,1,4,1200,3,2,140
686,Super built-up  Area,1,3,1140,2,1,56
687,Super built-up  Area,1,5,1683,3,1,109
689,Super built-up  Area,0,7,2118,4,2,111
693,Built-up  Area,1,5,2300,3,3,120
694,Super built-up  Area,1,3,1240,2,2,60
695,Super built-up  Area,1,5,1750,3,1,120
698,Super built-up  Area,1,3,985,2,1,40.39
699,Plot  Area,1,4,1500,2,1,87
701,Built-up  Area,1,3,950,2,1,44
705,Built-up  Area,0,3,1090,2,1,28.34
708,Super built-up  Area,0,3,810,2,2,24.5
709,Super built-up  Area,1,3,1045,2,0,45
710,Super built-up  Area,0,3,1337,2,1,82
712,Super built-up  Area,1,5,1580,3,2,160
713,Super built-up  Area,1,5,1500,2,3,54
714,Super built-up  Area,0,5,1640,4,2,91
715,Super built-up  Area,1,5,1570,3,2,62
716,Super built-up  Area,1,5,1470,2,2,82
718,Built-up  Area,1,3,1050,2,1,71
719,Super built-up  Area,0,5,1855,3,1,225
720,Super built-up  Area,1,5,1460,2,1,90
722,Super built-up  Area,1,3,1094,2,2,42
723,Super built-up  Area,1,3,1153,2,2,57
724,Built-up  Area,1,5,1325,3,1,57
726,Built-up  Area,1,5,1590,2,2,125
729,Super built-up  Area,1,3,1202,2,1,48
731,Super built-up  Area,1,3,1200,2,3,62.5
732,Super built-up  Area,0,5,1688,3,1,118
733,Built-up  Area,1,3,1020,2,1,52
734,Super built-up  Area,1,3,1185,2,2,47
735,Super built-up  Area,0,3,1235,2,1,52.04
736,Super built-up  Area,1,7,3205,5,1,500
738,Super built-up  Area,1,5,1415,2,3,66
739,Super built-up  Area,0,5,2330,3,2,162
740,Super built-up  Area,1,3,805,2,2,35
742,Super built-up  Area,1,3,1155,2,3,59.95
745,Built-up  Area,1,3,1100,2,0,48
748,Super built-up  Area,1,3,1468,2,1,140
749,Plot  Area,1,6,4300,5,2,550
750,Super built-up  Area,0,5,2280,4,2,126
751,Super built-up  Area,1,3,1341,2,1,97
753,Super built-up  Area,0,7,2225,4,0,98.88
754,Super built-up  Area,1,3,1185,2,2,43.51
755,Super built-up  Area,1,5,1750,3,2,85
756,Super built-up  Area,1,3,1152,2,1,53.5
758,Super built-up  Area,1,3,1300,2,3,36
761,Super built-up  Area,1,3,1101,2,0,45
763,Super built-up  Area,1,1,667,1,1,36.85
764,Super built-up  Area,1,3,1070,2,1,55
765,Built-up  Area,1,5,1875,2,2,110
766,Super built-up  Area,1,3,735,2,1,57.99
769,Super built-up  Area,1,3,1215,2,1,67
771,Super built-up  Area,1,3,820,2,1,30
772,Super built-up  Area,0,3,1160,2,0,59.935
773,Super built-up  Area,1,5,1779,3,2,89.61
774,Built-up  Area,1,3,1105,2,2,58
776,Super built-up  Area,1,5,1650,3,2,60
777,Super built-up  Area,1,3,1694,2,2,150
778,Super built-up  Area,1,5,2376,3,1,203
780,Super built-up  Area,1,3,674,2,1,33
781,Super built-up  Area,1,3,1185,2,1,41
782,Super built-up  Area,1,0,445,1,0,28
785,Super built-up  Area,1,5,1618,3,3,82.5
786,Super built-up  Area,1,3,1120,2,0,65
787,Super built-up  Area,1,7,2181,3,2,152
790,Super built-up  Area,0,5,1556,2,1,59.13
791,Super built-up  Area,0,3,1179,2,1,66.02
792,Super built-up  Area,1,3,1296,2,2,83
793,Built-up  Area,1,3,1275,2,2,52
796,Super built-up  Area,1,3,1222,2,1,63
797,Super built-up  Area,1,3,940,2,1,41
798,Super built-up  Area,1,3,1185,2,2,42.6
799,Super built-up  Area,1,5,1779,3,2,112
800,Super built-up  Area,1,5,1615,3,2,59.76
802,Super built-up  Area,1,3,1056,2,1,61
804,Built-up  Area,1,3,920,2,1,40
805,Super built-up  Area,1,5,1602,2,0,75
809,Built-up  Area,1,5,1717,3,3,99
811,Super built-up  Area,0,7,2119,4,3,111
812,Super built-up  Area,1,3,1246,2,1,67.3
813,Super built-up  Area,0,3,1141,2,1,42.79
815,Super built-up  Area,0,3,1025,2,2,27.68
816,Built-up  Area,1,1,650,1,2,33
817,Super built-up  Area,1,3,1349,2,1,98
818,Super built-up  Area,1,5,1566,3,1,83.3
819,Super built-up  Area,1,7,2830,3,3,195
822,Super built-up  Area,1,3,1091,2,1,34.9
823,Super built-up  Area,1,7,3670,4,3,300
825,Super built-up  Area,0,7,1950,4,0,130
827,Super built-up  Area,1,5,1705,3,2,95
828,Built-up  Area,1,5,1375,3,2,75
829,Super built-up  Area,0,1,525,1,1,30
831,Super built-up  Area,1,3,1114,2,1,39
832,Super built-up  Area,1,5,1450,2,1,100
835,Built-up  Area,1,3,1000,2,2,45
836,Super built-up  Area,0,3,1128,2,1,68.75
837,Super built-up  Area,0,3,1180,2,2,57
841,Super built-up  Area,1,3,1339,2,3,75
843,Super built-up  Area,1,3,1040,2,1,39.52
846,Super built-up  Area,1,5,1691,3,2,113
847,Super built-up  Area,1,5,1075,3,2,36
850,Super built-up  Area,0,3,1115,2,0,58.935
851,Super built-up  Area,1,5,1665,3,2,86.58
853,Built-up  Area,1,3,1142,2,2,70
854,Super built-up  Area,1,5,1976,3,1,184
862,Super built-up  Area,1,3,1175,2,2,51.47
863,Built-up  Area,1,3,1200,2,2,52
864,Built-up  Area,1,3,995,2,1,41
865,Super built-up  Area,1,3,884,2,1,41.1
867,Built-up  Area,1,3,1170,2,2,57
868,Super built-up  Area,1,3,1225,2,1,46.55
869,Super built-up  Area,0,3,1342,2,1,73.3
871,Built-up  Area,1,5,1320,3,0,65
873,Super built-up  Area,1,3,1140,2,1,49.39
874,Super built-up  Area,1,3,1300,2,1,50
876,Super built-up  Area,1,5,2072,4,2,142
878,Super built-up  Area,1,5,1360,2,1,71
879,Super built-up  Area,1,5,1145,2,2,60
880,Built-up  Area,1,5,1540,2,0,40
881,Super built-up  Area,1,3,1278,2,2,95
882,Super built-up  Area,0,1,630,1,1,40
883,Super built-up  Area,0,5,1100,3,2,58
884,Plot  Area,1,4,1200,3,0,95
886,Super built-up  Area,0,1,520,1,0,15.135
887,Super built-up  Area,0,3,1015,2,2,25.88
894,Super built-up  Area,1,3,1180,2,1,69
895,Super built-up  Area,1,3,1116,2,3,51.91
896,Super built-up  Area,1,3,1070,2,1,42.79
897,Super built-up  Area,0,3,1385,2,3,80
900,Super built-up  Area,0,3,1005,2,1,55.78
901,Super built-up  Area,1,5,1575,3,2,125
902,Super built-up  Area,1,3,975,2,1,65
903,Super built-up  Area,1,5,1904,3,2,120
905,Super built-up  Area,0,1,525,1,1,26
907,Plot  Area,1,2,2400,3,1,150
910,Super built-up  Area,1,3,1174,2,1,69
912,Super built-up  Area,1,5,2225,2,1,125
913,Super built-up  Area,1,3,1250,2,0,200
914,Super built-up  Area,1,3,918,2,2,52
917,Built-up  Area,1,3,1170,2,3,53
920,Super built-up  Area,1,5,1710,3,2,107
921,Super built-up  Area,1,5,1082,2,1,57.5
926,Super built-up  Area,1,5,1554,3,2,55
927,Super built-up  Area,0,3,1000,2,0,43.415
930,Super built-up  Area,0,3,1045,2,1,98.89
932,Super built-up  Area,1,5,1935,4,2,130
934,Super built-up  Area,1,5,1680,3,2,150
935,Super built-up  Area,0,7,2470,5,2,247
936,Super built-up  Area,1,7,2825,4,3,250
937,Super built-up  Area,1,5,2480,3,1,330
940,Built-up  Area,1,5,1799,3,3,90
942,Built-up  Area,1,1,400,1,1,11
943,Built-up  Area,0,3,1047,2,1,82
944,Super built-up  Area,1,3,1282,2,2,87
947,Super built-up  Area,1,3,1495,2,1,79.5
948,Built-up  Area,1,6,3260,4,1,240
950,Super built-up  Area,1,7,3500,5,2,425
952,Super built-up  Area,1,5,1500,2,2,95
954,Super built-up  Area,1,5,1540,3,0,50
955,Super built-up  Area,0,5,1639,3,1,80
957,Super built-up  Area,1,3,1303,2,2,55.79
958,Super built-up  Area,1,3,1005,1,1,110
959,Super built-up  Area,1,1,650,1,0,18.41
960,Super built-up  Area,0,5,1305,3,1,33.28
963,Super built-up  Area,1,5,1440,2,3,68
965,Super built-up  Area,1,5,1725,3,3,200
969,Super built-up  Area,0,5,1535,3,2,65.99
971,Super built-up  Area,1,5,1464,3,2,56
972,Super built-up  Area,1,3,1350,2,3,80
978,Built-up  Area,1,3,650,2,0,42
980,Built-up  Area,1,3,950,2,3,31
984,Super built-up  Area,1,3,1190,2,1,49.98
987,Super built-up  Area,1,5,1891,3,1,109
989,Super built-up  Area,0,3,1161,2,1,55.15
990,Super built-up  Area,1,1,633,1,0,17.535
993,Super built-up  Area,1,1,665,1,1,36.85
995,Built-up  Area,1,3,1425,2,2,80
998,Built-up  Area,1,3,1255,2,2,67
